Country.,Contract.Phase.,Implementing.Organization.,Fieldwork.,Status.,CAPI.survey,GPS.georeferenced,dhs_cc,dhs_recode_code,survey_id,Recode.Structure.,Birth.registration,Calendar,Cooking.fuel,Domestic.violence,Fieldworker.characteristics,Fistula,HIV.behavior,HIV.knowledge,Iodine.salt.test,Malaria.questions,Male.circumcision.self.reported,Maternal.mortality,Men.s.survey,Micronutrients,Paper.survey,Social.marketing,Tobacco.use,Tuberculosis.questions,Vitamin.A.questions,Women.s.status,Abortion,Alcohol.consumption,Causes.of.death,Health.expenditures,Migration,Out.of.pocket.health.expenditures,Pregnancy.history,Prenatal.care...folic.acid,Verbal.autopsy,Anemia.testing,Anthropometry,Blood.pressure..measure.,Blood.pressure.questions,Child.discipline,Child.labor,Diabetes.questions,Disability,Early.childhood.education,Health.insurance,Vaccinations.from.health.facilities,Non.communicable.diseases,Anemia.questions,HIV.testing,HIV.testing...DBS,HIV.testing.includes.confirmation,Malaria...RDT,Malaria...Microscopy,Breast.cancer.screening.questions,Cervical.cancer.screening.questions,Prostate.cancer.screening.questions,Diabetes.testing,Newborn.care,Service.availability,CAF�.survey,Arsenic...water.test,Husband.s.survey,Early.childhood.development,Female.genital.cutting,OVC,HIV.testing...venous.blood,Arm.circumference,Asthma,Basic.material.needs,HIV.testing...RDT,Malaria...DBS,Youth,Hepatitis.B.testing,Hepatitis.C.testing,Avian.influenza.knowledge,HIV.testing...children,Lead.testing,HIV.incidence,HIV.viral.load,E..coli...water.test,Measles.testing,Syphilis.testing,Tetanus.testing,HIV.CD4.count,Sickle.cell..genotype.test.,Chlorine...water.test,Urine.iodine.excretion,Iron.transferrin.receptor..related.to.anemia.testing,Vitamin.A.testing,Herpes.simplex.virus...HSV.2.,Human.trafficking,Chlamydia.testing,Lipids.testing,BeginDate,EndDate,dayslength,middate,BeginYear,EndYear,surveyyr,WealthIndex
Afghanistan,DHS-VII,Ministry of Public Health,November 2018 - January 2019,Completed,1,1,,,543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-11-01,2019-01-01,61,2018-12-01,2018,2019,2019,
Afghanistan,DHS-VII,Central Statistics Organization (CSO) and Ministry of Public Health (MoPH),June 2015 - February 2016,Completed,,1,AF,71,471,DHS-VII,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-06-01,2016-02-01,245,2015-10-01,2015,2016,2016,1
Afghanistan,DHS-VI,Indian Institute for Health Management Research (IIHMR),April 2010 - December 2010,Completed,,,AF,66,348,,,,1,,,,,,,,,1,,1,1,,,,,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010-04-01,2010-12-01,244,2010-08-01,2010,2010,2010,1
Albania,DHS-VII,The National Statistical Institute (INSAT),September 2017 - December 2017,Completed,1,,AL,71,525,DHS-VII,1,1,1,1,,,1,1,1,,1,,1,,,1,1,1,,1,,1,,1,1,,,,,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-09-01,2017-12-01,91,2017-10-17,2017,2017,2017,1
Albania,DHS-V,Institute of Statistics (INSTAT) and Institute of Public Health (IShP),October 2008 - April 2009,Completed,1,1,AL,51,327,DHS-V,1,1,1,,,,1,1,1,,1,,1,1,,,1,,,1,1,1,,,1,,,,,1,1,1,,1,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008-10-01,2009-04-01,182,2008-12-31,2008,2009,2009,1
Angola,DHS-VII,Instituto Nacional de Estatistica (INE),November 2015 - February 2016,Completed,1,1,AO,71,477,DHS-VII,1,1,1,1,,,1,1,1,1,1,1,1,1,,1,1,,,1,,1,,,1,,,,,1,1,,,,1,,1,1,1,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-11-01,2016-02-01,92,2015-12-17,2015,2016,2016,1
Angola,DHS-VI,CONSAÚDE and COSEP,January 2011 - May 2011,Completed,,1,AO,62,395,DHS-V,,,1,,,,,,,1,,,,,1,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011-01-01,2011-05-01,120,2011-03-02,2011,2011,2011,1
Angola,DHS-V,"COSEP, CONSAÚDE",November 2006 - April 2007,Completed,,1,AO,51,282,DHS-V,,,1,,,,,,,1,,,,,1,,,1,,,,,1,,,,,,,1,,,1,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006-11-01,2007-04-01,151,2007-01-16,2006,2007,2007,1
Armenia,DHS-VII,National Statistical Service(NSS)and the Ministry of Health (MOH),December 2015 - April 2016,Completed,,1,AM,72,492,DHS-VII,1,1,1,1,1,,1,1,1,,,,1,1,1,1,1,1,,1,1,1,,1,1,1,1,1,,1,1,,,1,,,,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-12-01,2016-04-01,122,2016-01-31,2015,2016,2016,1
Armenia,DHS-VI,The National Statistical Service of The Republic of Armenia and the Ministry of Health,October 2010 - December 2010,Completed,,1,AM,61,354,DHS-VI,1,1,1,,,,1,1,,,,,1,1,1,,1,,,1,1,,,1,,,1,,,,1,,1,1,1,1,,,1,1,,1,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010-10-01,2010-12-01,61,2010-10-31,2010,2010,2010,
