iso3_flat,crisis_id,crisis_name,type_of_crisis,regional_or_country,country_level,individual_aggregated,website_name,iso3,country,regions,# of people in none/minimal conditions - Level 1,# of people in stressed conditions - level 2,# of people in moderate conditions - level 3,# of people severe conditions - level 4,# of people extreme conditions - level 5,People in Need,% of people in none/minimal conditions - Level 1,% of people in stressed conditions - level 2,% of people in moderate conditions - level 3,% of people severe conditions - level 4,% of people extreme conditions - level 5,Concentration of conditions,Conditions of people affected,mon,year,Total.PiN,check,country_flat,income,region,population,seq,full.parent,Adjusted.PiN,crisis_category
AFG,AFG001,Complex crisis in Afghanistan,Complex crisis,Country,Yes,Individual,Complex crisis,AFG,Afghanistan,Asia,0,29.29,2.68,3.73,0,4.7,0,82,7.5,10.4,0,4,4.4,Feb,2019,6.41,99.9,Afghanistan,Low income,South Asia,38928341,1,TRUE,6.41,Complex
AFG,AFG002,Conflict in Afghanistan,Conflict,Country,No,Individual,,AFG,Afghanistan,Asia,0.18,1.25,2.44,0.97,0,4.2,0.6,4.3,8.4,3.3,0,3,3.6,Jan,2019,3.41,16.6,Afghanistan,Low income,South Asia,38928341,2,TRUE,3.41,Conflict
AFG,AFG003,Drought in Afghanistan,Drought,Country,No,Individual,,AFG,Afghanistan,Asia,0.58,0,1.83,1.28,0,4.2,3.3,0,10.5,7.4,0,4,4.1,Jan,2019,3.11,21.2,Afghanistan,Low income,South Asia,38928341,3,TRUE,3.11,Physical
AFG,AFG004,Floods in Afghanistan,Flood,Country,No,Individual,,AFG,Afghanistan,Asia,0,0,0.12,0,0,1.8,0,0,2.4,0,0,0,0.9,Mar,2019,0.12,2.4,Afghanistan,Low income,South Asia,38928341,4,TRUE,0.12,Physical
ARG,ARG002,Venezuela displacement in Argentina,,Country,,Individual,,ARG,Argentina,Americas,0.13,0,0,0,0,0,4.1,0,0,0,0,0,0,Feb,2019,0,4.1,Argentina,High income,Latin America & Caribbean,45195777,1,TRUE,0,Displacement
BDI,BDI001,Complex in Burundi,Complex crisis,Country,Yes,Individual,Complex crisis ,BDI,Burundi,Africa,0,0.08,1.63,0.1,0,3.7,0,0.7,14.4,0.9,0,3,3.4,Feb,2019,1.73,16,Burundi,Low income,Sub-Saharan Africa,11890781,1,TRUE,1.73,Complex
BDI,BDI002,Political and economic crisis in Burundi,,Country,Yes,Individual,,BDI,Burundi,Africa,0,0.08,1.62,0.1,0,3.7,0,0.7,14.3,0.9,0,3,3.4,Feb,2019,1.72,15.9,Burundi,Low income,Sub-Saharan Africa,11890781,2,TRUE,1.72,Complex
BDI,BDI003,Flooding in Burundi,Flood,Country,No,Individual,,BDI,Burundi,Africa,0,0,0.01,0,0,0,0,0,0.1,0,0,0,0,Feb,2019,0.01,0.1,Burundi,Low income,Sub-Saharan Africa,11890781,3,TRUE,0.01,Physical
BFA,BFA002,Conflict in Burkina Faso,Conflict,Country,Yes,Individual,Conflict,BFA,Burkina Faso,Africa,6.61,3.77,0.77,0.18,0,3.3,58.4,33.3,6.8,1.6,0,3,3.2,Apr,2019,0.95,100.1,Burkina Faso,Low income,Sub-Saharan Africa,20903278,1,FALSE,0.95,Conflict
BGD,BGD002,Rohingya refugee crisis,International displacement,Country,Yes,Individual,Rohingya Refugees,BGD,Bangladesh,Asia,0,0.27,0.83,0.28,0.02,3.4,0,19.1,59.7,19.8,1.4,4,3.7,Apr,2019,1.13,100,Bangladesh,Lower middle income,South Asia,164689383,1,TRUE,1.13,Displacement
BGD,BGD004,Multiple Crises in Bangladesh,,Country,Yes,Individual,,BGD,Bangladesh,Asia,52.16,5.98,2.71,0.27,0.02,4.1,87.3,10,4.5,0.5,0,3,3.6,Aug,2019,3,102.3,Bangladesh,Lower middle income,South Asia,164689383,2,TRUE,3,Complex
BHS,BHS002,Hurricane Dorian in Bahamas ,,Country,Yes,Individual,,BHS,Bahamas,Americas,0.1,0.07,0.01,0,0,0,56.8,40.3,2.8,0,0,2,1,Oct,2019,0.01,99.9,Bahamas,High income,Latin America & Caribbean,393248,1,FALSE,0.01,Physical
BIH,BIH002,Mixed migration flows in Bosnia and Herzegovina,,Country,,Individual,,BIH,Bosnia and Herzegovina,Europe,0.01,0,0,0,0,0,0.5,0.1,0,0,0,0,0,Feb,2019,0,0.6,Bosnia and Herzegovina,Upper middle income,Europe & Central Asia,3280815,1,TRUE,0,Displacement
BRA,BRA002,Venezuela displacement in Brazil,International displacement,Country,Yes,Individual,Venezuelan refugees,BRA,Brazil,Americas,0.21,0.4,0.22,0,0,2.3,24.9,48.1,27,0,0,3,2.7,Nov,2019,0.22,100,Brazil,Upper middle income,Latin America & Caribbean,212559409,1,FALSE,0.22,Displacement
CAF,CAF001,Complex crisis in CAR,Complex crisis,Country,Yes,Individual,Complex crisis,CAF,CAR,Africa,0,1.46,1.3,1.6,0,4.1,0,33.5,29.8,36.7,0,4,4.1,Apr,2019,2.9,100,CAR,Low income,Sub-Saharan Africa,4829764,1,FALSE,2.84,Complex
CAF,CAF002,Floods in CAR,Flood,Country,,Individual,,CAF,CAR,Africa,2.99,0.02,0.06,0,0,1.3,97.3,0.7,2,0,0,1,1.2,Dec,2019,0.06,100,CAR,Low income,Sub-Saharan Africa,4829764,2,FALSE,0.06,Physical
CMR,CMR001,Multiple crises in Cameroon,Multiple crises country,Country,Yes,Aggregated,Country level,CMR,Cameroon,Africa,8.77,7.19,2.14,2.18,0,4.4,42.7,35,10.4,10.6,0,4,4.2,Apr,2019,4.32,98.7,Cameroon,Lower middle income,Sub-Saharan Africa,26545864,1,FALSE,0.0200000000000005,Complex
CMR,CMR002,Boko Haram in Cameroon,Conflict,Country,No,Individual,Boko Haram,CMR,Cameroon,Africa,0,2.64,1.12,1.14,0,3.9,0,53.8,22.9,23.3,0,4,4,Apr,2019,2.26,100,Cameroon,Lower middle income,Sub-Saharan Africa,26545864,2,FALSE,2.26,Conflict
CMR,CMR003,Anglophone Crisis in Cameroon,Conflict,Country,No,Individual,Anglophone crisis,CMR,Cameroon,Africa,5.69,2.67,0.29,1.04,0,3.5,58.7,27.6,3,10.7,0,4,3.8,Apr,2019,1.33,100,Cameroon,Lower middle income,Sub-Saharan Africa,26545864,3,FALSE,1.33,Conflict
CMR,CMR004,CAR refugees in Cameroon,International displacement,Country,No,Individual,CAR refugees,CMR,Cameroon,Africa,0,1.88,0.71,0,0,3.1,0,72.5,27.5,0,0,3,3.1,Apr,2019,0.71,100,Cameroon,Lower middle income,Sub-Saharan Africa,26545864,4,FALSE,0.71,Displacement
COD,COD001,Complex crisis in DRC,Complex crisis,Country,Yes,Individual,Complex crisis,COD,DRC,Africa,0,0,16.93,5.86,0,5,0,0,17.1,5.9,0,4,4.5,Feb,2019,22.79,23,DRC,Low income,Sub-Saharan Africa,89561404,1,FALSE,22.56,Complex
COD,COD002,Floods in DRC,Flood,Country,,Individual,,COD,DRC,Africa,42.6,0.37,0.23,0,0,2.3,98.6,0.9,0.5,0,0,1,1.7,Dec,2019,0.23,100,DRC,Low income,Sub-Saharan Africa,89561404,2,FALSE,0.23,Physical
COG,COG001,Complex crisis in Congo,Complex crisis,Country,Yes,Individual,Complex crisis,COG,Congo,Africa,,,,,,,,,,,,,,Dec,2019,0,0,Congo,Lower middle income,Sub-Saharan Africa,5518092,1,TRUE,0,Complex
COG,COG002,Pool conflict,Conflict,Country,,Individual,Conflict,COG,Congo,Africa,0,0,0.11,0,0,1.8,0,0,38,0,0,3,2.4,Feb,2019,0.11,38,Congo,Lower middle income,Sub-Saharan Africa,5518092,2,TRUE,0.11,Conflict
COL,COL001,Complex crisis in Colombia,Complex crisis,Country,Yes,Individual,Complex crisis,COL,Colombia,Americas,0,1.6,3.2,2.2,0,4.6,0,3.4,6.8,4.7,0,3,3.8,Feb,2019,5.4,14.9,Colombia,Upper middle income,Latin America & Caribbean,50882884,1,FALSE,3.83,Complex
COL,COL002,Venezuela displacement in Colombia,International displacement,Country,No,Individual,Venezuelan refugees ,COL,Colombia,Americas,24.73,0.61,1.03,0.54,0,3.7,91.9,2.3,3.8,2,0,3,3.4,Apr,2019,1.57,100,Colombia,Upper middle income,Latin America & Caribbean,50882884,2,FALSE,1.57,Displacement
CRI,CRI002,Nicaraguan refugees in Costa Rica,International displacement,Country,Yes,Individual,Nicaraguan refugees,CRI,Costa Rica,Americas,1.41,0.04,0.01,0,0,0.1,96.2,3,0.8,0,0,1,0.6,Apr,2019,0.01,100,Costa Rica,Upper middle income,Latin America & Caribbean,5094114,1,FALSE,0.01,Displacement
DJI,DJI001,Multiple crises in Djibouti,Multiple crises country,Country,Yes,Aggregated,Country level,DJI,Djibouti,Africa,0.37,0.33,0.2,0.13,0,2.5,36.1,31.9,19.6,12.3,0,4,3.3,Mar,2019,0.33,99.9,Djibouti,Lower middle income,Middle East & North Africa,988002,1,TRUE,0.33,Complex
DJI,DJI002,Mixed migration in Djibouti,International displacement,Country,No,Individual,Mixed Migration,DJI,Djibouti,Africa,0.98,0,0.03,0.02,0,1.2,95.2,0,2.8,1.9,0,1,1.1,Apr,2019,0.05,99.9,Djibouti,Lower middle income,Middle East & North Africa,988002,2,TRUE,0.05,Displacement
DJI,DJI003,Drought in Djibouti,Drought,Country,No,Individual,Drought,DJI,Djibouti,Africa,0.37,0.33,0.2,0.13,0,2.5,36.1,31.9,19.6,12.3,0,4,3.3,Mar,2019,0.33,99.9,Djibouti,Lower middle income,Middle East & North Africa,988002,3,TRUE,0.33,Physical
DJI,DJI004,Floods in Djibouti,Flood,Country,No,Individual,,DJI,Djibouti,Africa,0.67,0.1,0.15,0,0,2,72.7,11.1,16.2,0,0,3,2.5,Dec,2019,0.15,100,Djibouti,Lower middle income,Middle East & North Africa,988002,4,TRUE,0.15,Physical
DZA,DZA002,Mixed migration flows in Algeria,International displacement,Country,No,Individual,Mixed Migration,DZA,Algeria,Africa,,,,,,,,,,,,,,Feb,2019,0,0,Algeria,Upper middle income,Middle East & North Africa,43851043,1,TRUE,0,Displacement
DZA,DZA003,Sahrawi refugees in Algeria,International displacement,Country,No,Individual,Sahrawi refugees,DZA,Algeria,Africa,0,0.08,0.09,0,0,1.6,0,37.7,40.4,0,0,3,2.3,Feb,2019,0.09,78.1,Algeria,Upper middle income,Middle East & North Africa,43851043,2,TRUE,0.09,Displacement
ECU,ECU002,Venezuela displacement in Ecuador,International displacement,Country,Yes,Individual,Venezuelan refugees ,ECU,Ecuador,Americas,2.32,0.21,0.39,0,0,2.6,70.4,6.3,11.7,0,0,3,2.8,Nov,2019,0.39,88.4,Ecuador,Upper middle income,Latin America & Caribbean,17643060,1,FALSE,0.39,Displacement
EGY,EGY002,Syrian Refugee Crisis in Egypt,International displacement,Country,Yes,Individual,Syrian refugees,EGY,Egypt,Africa,18.6,0.06,0.07,0,0,1.4,99.3,0.3,0.4,0,0,1,1.2,Apr,2019,0.07,100,Egypt,Lower middle income,Middle East & North Africa,102334403,1,FALSE,0.07,Displacement
ERI,ERI001,Complex crisis in Eritrea,Complex crisis,Country,Yes,Individual,Complex crisis,ERI,Eritrea,Africa,0.65,0,2.58,0,0,4,20,0,80,0,0,3,3.5,Nov,2019,2.58,100,Eritrea,Low income,Sub-Saharan Africa,3546427,1,FALSE,2.58,Complex
ESP,ESP002,Mixed migration flows in spain,International displacement,Country,Yes,Individual,Mixed Migration,ESP,Spain,Europe,0.06,0,0,0,0,0,0.8,0,0,0,0,0,0,Feb,2019,0,0.8,Spain,High income,Europe & Central Asia,46754783,1,TRUE,0,Displacement
ETH,ETH001,Complex crisis in Ethiopia,Complex crisis,Country,Yes,Individual,Complex crisis,ETH,Ethiopia,Africa,97,0,4.3,4.56,0,4.9,91.6,0,4.1,4.3,0,3,4,Mar,2019,8.86,100,Ethiopia,Low income,Sub-Saharan Africa,114963583,1,FALSE,8.86,Complex
GRC,GRC002,Mixed migration flows in Greece,International displacement,Country,Yes,Individual,Mixed Migration,GRC,Greece,Europe,0.21,0.06,0.04,0,0,0.9,69,19,11.9,0,0,3,2,Oct,2019,0.04,99.9,Greece,High income,Europe & Central Asia,10423056,1,FALSE,0.04,Displacement
