Respondent_ID,Region,Programme,Division,District,Upazila/pouroshova,Union/ward,Area,ward,Age,Age (Decile),Sex,Occupation,Q11,Q12_current_income,Q13_prev_month_income,Q14_current_month_expen,Q15_prev_expense,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Q26,Q27,Q28,Q29,Q18_Boolean,Q20_Boolean,Q21_Boolean,Q22_boolean,Q24_boolean,Q27_boolean,Q29_boolean,Q30,Q31,Q32,Q31_5s,Q32_10s,Q33,Q34,Q35,Q36,Q30_food,Q30_cash,Q30_commodities_at_fair_price,Q30_Medical_treatment,Q30_Misconception
101,Netrokona-1,MF-BDU,Mymensingh,Netrakona,Purbadhala,Narinda,Rural,NA,22,20,Men,Day laborer (non-agri),shop/market business closed,7000,14000,6000,10000,5,0,Yes,TV,Yes,Do know,Do know,Corona helpline,Yes,lockdown whole area/village,completely agree,Yes,15,Yes,1,1,1,1,1,1,1,অ. খাদ্য সাহায্য,5,15,5,10,ঈ. ঋণ গ্রহন,No,,,1,0,0,0,0
102,Madaripur-2,MF-BDU,Dhaka,Madaripur,Shibchar,Char Manaier,Rural,NA,43,40,Men,factory worker,lost job/no work,0,17000,12000,12000,4,0,Yes,TV,Yes,Do know,Do know,Local govt hospital,Yes,home quarantine,completely agree,Yes,15,No,1,1,1,1,1,1,0,অ. খাদ্য সাহায্য,15,20,15,20,ঊ. সরকারি বা দাতাদের সাহায্য,No,,,1,0,0,0,0
103,,PSU,Mymensingh,Netrakona,NETROKONA SADAR,Rouha,Urban,Ward No:1,39,30,Women,factory worker,have job but no pay/salary,14000,10000,13000,12000,5,2,Yes,TV,Yes,Do not know,Do know,Corona helpline,No,home quarantine,completely agree,হ্যাঁ,7,Yes,1,1,0,1,0,0,1,নগদ অর্থ সাহায্য,0,30,0,30,সরকারি বা দাতাদের সাহায্য,No,,,0,1,0,0,0
104,,PSU,Rangpur,Gaibandha,GAIBANDHA SADAR,,Urban,Ward No:6,45,40,Men,transport worker,lost job/no work,15000,25000,20000,20000,5,0,Yes,TV,Yes,Do not know,Do not know,Corona helpline,No,home quarantine,somewhat agree,হ্যাঁ,30,No,1,1,0,0,0,0,0,খাদ্য সাহায্য,0,30,0,30,ঋণ গ্রহন,No,,,1,0,0,0,0
105,Bagerhat,MF-BDU,Khulna,Bagerhat,Mollahat,Mollahat,Rural,NA,52,50,Men,small business/convenience shop,lost job/no work,5000,15000,10000,14000,3,0,Yes,TV,Yes,Do know,Do know,Local govt hospital,Yes,home quarantine,somewhat agree,Yes,7,No,1,1,1,1,1,1,0,উ.  কম মূল্যে নিত্যপ্রয়োজনীয় সামগ্রীর ব্যবস্থা,2,7,0,0,ঊ. সরকারি বা দাতাদের সাহায্য,No,,,0,0,1,0,0
106,Chattogram-4,MF-BDU,Chattogram,Chattogram,Lohagara,horomba,Rural,NA,37,30,Men,small business/convenience shop,lost job/no work,0,15000,12000,12000,5,0,Yes,TV,Yes,Do know,Do not know,Local govt hospital,Yes,home quarantine,completely agree,Yes,15,No,1,1,1,0,1,1,0,"অ. খাদ্য সাহায্য, ঈ. পর্যাপ্ত চিকিৎসা ব্যবস্থা, উ.  কম মূল্যে নিত্যপ্রয়োজনীয় সামগ্রীর ব্যবস্থা, ঊ.  মানুষের মধ্যে ভয় দুর করা",5,30,5,30,"অ. সঞ্চয় থেকে উত্তোলন, ঈ. ঋণ গ্রহন, উ.  পেশা পরিবর্তন",No,,,1,0,1,1,1
107,Faridpur,MF-BDU,Dhaka,Faridpur,Faridpur Sadar,Kishnonagar,Rural,NA,28,20,Men,Day laborer (non-agri),lost job/no work,0,17000,15000,15000,5,0,Yes,TV,Yes,Do know,Do know,Corona helpline,Yes,home quarantine,completely agree,Yes,15,No,1,1,1,1,1,1,0,অ. খাদ্য সাহায্য,5,15,5,10,ঈ. ঋণ গ্রহন,No,,,1,0,0,0,0
108,,PSU,Rangpur,Panchagarh,BODA,BODA,Urban,Ward No:1,50,50,Men,small business/convenience shop,lost job/no work,2000,12000,10000,12000,4,0,Yes,TV,Yes,Do know,Do not know,Local govt hospital,No,home quarantine,completely agree,হ্যাঁ,5,Yes,1,1,1,0,0,0,1,"খাদ্য সাহায্য, নগদ অর্থ সাহায্য",10,0,10,0,পরিকল্পনা নাই,No,,,1,1,0,0,0
109,Habiganj,MF-BDU,Sylhet,Habigonj,Lakhai ,Murakuri,Rural,NA,35,30,Men,Hotel/restaurant worker,lost job/no work,0,15000,10000,14000,7,0,Yes,TV,Yes,Do know,Do know,stay home,No,home quarantine,completely agree,Yes,7,Yes,1,1,1,1,0,1,1,ই.  নগদ অর্থ সাহায্য,7,15,5,10,ঋ. পরিকল্পনা নাই,No,,,0,1,0,0,0
110,Shariotpur,MF-BDU,Dhaka,Shariatpur,Shariatpur Sadar,Angria,Rural,NA,24,20,Men,Day laborer (non-agri),lost job/no work,0,18000,13000,17000,5,2,Yes,TV,Yes,Do know,Do know,Local govt hospital,Yes,treatment available only in Dhaka,somewhat agree,Yes,10,No,1,1,1,1,1,1,0,ঈ. পর্যাপ্ত চিকিৎসা ব্যবস্থা,7,15,5,10,ঈ. ঋণ গ্রহন,No,,,0,0,0,1,0
