plan.name,COVID.Funded through this plan,COVID.Unmet requirements,COVID.Total requirements,Non-COVID.Funded through this plan,Non-COVID.Unmet requirements,Non-COVID.Total requirements
COVID-19 Global Humanitarian Response Plan,3796800081,5704485905,9501285986,0,0,0
Djibouti,4953591,25029825,29983416,3698247,10553649,14251896
Lebanon,118524688,17975312,136500000,167109963,29499179,196609142
Lesotho,0,0,0,13733857,20011143,33745000
Afghanistan,186988307,208700868,395689175,377479458,357882187,735361645
Burkina Faso,53260284,52670202,105930486,204951039,113476336,318427375
Burundi,12197685,59247315,71445000,77226701,49221299,126448000
Cameroon,55921813,25809315,81731128,139390870,169798126,309188996
CAR,84113141,68699149,152812290,301276044,99533956,400810000
Chad,59938407,64245150,124183557,228459543,311998060,540457603
Colombia,34750996,249169651,283920647,28154447,181545553,209700000
DRC,118905507,155592168,274497675,716627588,1078009557,1794637145
Ethiopia,99681962,233009580,332691542,641941920,276170660,918112580
Haiti,28862376,115517057,144379433,126528023,201085579,327613602
Iraq,105518560,159268162,264786722,519477401,0,519477401
Libya,39078795,7578502,46657297,79762743,3425965,83188708
Mali,47609330,27801604,75410934,181599593,217281653,398881246
Myanmar,40937631,17862369,58800000,146241621,70258379,216500000
Niger,75638579,6679456,82318035,308828348,124928574,433756922
Nigeria,80544248,161904018,242448266,541926309,296072038,837998347
oPt,65383301,7022309,72405610,229703024,118273050,347976074
Somalia,89305776,136298890,225604666,740953559,43368302,784321861
South Sudan,107311184,275716810,383027994,1127156591,390615379,1517771970
Sudan,99277395,184268930,283546325,768973809,580882995,1349856804
Syria,187280621,196874319,384154940,2037283258,1396094634,3433377892
Ukraine,39813921,7087388,46901309,88258060,69493865,157751925
Venezuela,44917967,42966698,87884665,119204279,555420419,674624698
Yemen,270544513,115137190,385681703,1677894102,1319105898,2.997e+09
Zimbabwe,35925432,49068897,84994329,173900951,541875653,715776604
Bangladesh,122074094,265292240,387366334,565122477,311538745,876661222
Benin,3346554,14583446,17930000,0,0,0
Mozambique,61669539,6435461,68105000,45603088,0,45603088
Congo,1679525,10309599,11989124,0,0,0
DPRK,3501684,36190478,39692162,28733926,78266074,1.07e+08
Ecuador,19852674,26572326,46425000,0,0,0
Iran,73968720,43315961,117284681,0,0,0
Jordan,18604280,34241451,52845731,0,0,0
Kenya,62447872,192422812,254870684,0,0,0
Liberia,7507918,49492082,5.7e+07,0,0,0
Pakistan,89576883,56211995,145788878,0,0,0
Philippines,20562507,101204837,121767344,0,0,0
Sierra Leone,20093035,42814690,62907725,0,0,0
Tanzania,19017877,139856228,158874105,0,0,0
Togo,5190103,14567431,19757534,0,0,0
Uganda,29951056,170206071,200157127,0,0,0
Zambia,13196362,112416566,125612928,27969390,61567629,89537019
Burundi Regional,7521464,57909281,65430745,39224662,162932075,202156737
DRC Regional,12131905,143539715,155671620,28568630,403147687,431716317
Horn of Africa and Yemen ,250000,31272013,31522013,14615390,0,14615390
South Sudan Regional,21908345,106879037,128787382,81500952,811990402,893491354
Syria Regional,96489203,661815935,758305138,2259364838,2978305784,5237670622
Venezuela Regional,92899339,345908248,438807587,598423723,370348857,968772580
