country,region,dhsmics
Afghanistan,Badakhshan,badakhshan rural
Afghanistan,Badghis,badghis rural
Afghanistan,Baghlan Urban,baghlan urban
Afghanistan,Balkh,balkh rural
Afghanistan,Balkh Urban,balkh urban
Afghanistan,Bamyan,bamyan rural
Afghanistan,Daykundi,daykundi rural
Afghanistan,Faryab,faryab rural
Afghanistan,Faryab Urban,faryab urban
Afghanistan,Ghor,ghor rural
Afghanistan,Helmand Urban,helmand urban
Afghanistan,Hirat,herat rural
Afghanistan,Hirat Urban,herat urban
Afghanistan,Jawzjan Urban,jawzjan urban
Afghanistan,Kabul,kabul rural
Afghanistan,Kabul Urban,kabul urban
Afghanistan,Kandahar,kandahar rural
Afghanistan,Kandahar Urban,kandahar urban
Afghanistan,Kunar,kunarha rural
Afghanistan,Laghman,laghman rural
Afghanistan,Nangarhar,nangarhar rural
Afghanistan,Nangarhar Urban,nangarhar urban
Afghanistan,Nimroz,nimroz rural
Afghanistan,Nuristan,nooristan rural
Afghanistan,Samangan,samangan rural
Afghanistan,Sari pul,sar-e-pul rural
Afghanistan,Takhar,takhar rural
Afghanistan,Uruzgan,urozgan rural
Afghanistan,Wardak,wardak rural
Afghanistan,Zabul,zabul rural
Angola,Cahama,
Angola,Cuangar,
Angola,Cuanhama,
Angola,Cuchi,
Angola,Gambos (ex-Chiange),
Angola,Matala,
Angola,Ombadja,
Central African Republic,Bamingui-Bangoran,Baminigui Bangoran
Central African Republic,Basse-Kotto,Basse Kotto
Central African Republic,Haut-Mbomou,Haut Mbomou
Central African Republic,Haute-Kotto,Haute-Kotto
Central African Republic,Kémo,Kémo
Central African Republic,Mambéré-Kadéï,Mambere Kadei
Central African Republic,Mbomou,Mbomou
Central African Republic,Nana-Gribizi,Nana Grebizi
Central African Republic,Ouaka,Ouaka
Central African Republic,Ouham,Ouham
Central African Republic,Ouham Pendé,Ouham Pende
Central African Republic,Sangha-Mbaéré,Sangha Mbaere
Central African Republic,Vakaga,Vakaga
Central African Republic,Concentrations in Prefectures analyzed,
Central African Republic,Prefectures,
"Congo, DRC",Haut-Lomami,Haut Lomami
"Congo, DRC",Haut Uélé,Haut Uele
"Congo, DRC",Ituri,Ituri
"Congo, DRC",Kasaï,Kasai
"Congo, DRC",Kasai,Kasai
"Congo, DRC",Kasaï Central,Kasai Central
"Congo, DRC",Kasai Central,Kasai Central
"Congo, DRC",Kasaï Oriental,Kasai Oriental
"Congo, DRC",Kasai Oriental,Kasai Oriental
"Congo, DRC",Maniema,Maniema
"Congo, DRC",Nord-Kivu,Nord Kivu
"Congo, DRC",Sud-Kivu,Sud Kivu
"Congo, DRC",Tanganyika,Tanganyika
Djibouti,Dikhil,
Djibouti,Obock,
El Salvador,Ahuachapàn,
Eswatini,Hhohho,Hhohho rural
Eswatini,Hhohho urban,Hhohho urban
Eswatini,Lubombo,Lubombo
Eswatini,Shiselweni,Shiselweni
Guatemala,Chiquimula,nororiente
Guatemala,Alta Verapaz,norte
Haiti,Cité_Soleil,aire metropolitaine
Haiti,Zone Métropolitaine,aire metropolitaine
Haiti,Artibonite,artibonite
Haiti,Centre,centre
Haiti,Grand-Anse,grand'anse
Haiti,Nippes,nippes
Haiti,Nord,nord
Haiti,Nord-Est,nord-est
Haiti,Nord-Ouest,nord-ouest
Haiti,Ouest,rest-ouest
Haiti,Sud,sud
Haiti,Sud-Est,sud-est
Honduras,Atlántida,Atl?ntida
Honduras,Choluteca,Choluteca
Honduras,Colón,Col?n
Honduras,Copán,Cop?n
Honduras,Cortés,Cort?s
Honduras,El Paraíso,El Para?so
Honduras,Francisco Morazán,Francisco Moraz?n
Honduras,Gracias a Dios,Gracias a Dios
Honduras,Intibucá,Intibuc?
Honduras,Islas de la Bahía,Islas de la Bah?a
Honduras,La Paz,La Paz
Honduras,Valle,Valle
Kenya,Tharaka-nithi,eastern
Kenya,Urban Analysis,
LAC Region (tri-National),Chorti,
Lesotho,Maseru,Foothills
Lesotho,Mafeteng,Lowlands
Lesotho,Mohale's hoek,Lowlands
Lesotho,Thaba tseka,Mountains
Lesotho,Qacha's nek,Senqu river valley
Lesotho,Quthing,Senqu river valley
Madagascar,ANOSY,ANOSY
Malawi,Mzuzu City,northern region urban
Malawi,Blantyre City,southern region urban
Malawi,Zomba City,southern region urban
Mozambique,Inhambane,Inhambane
Namibia,Kavango west,kavango
Namibia,Khomas,khomas
Namibia,Kunene,kunene
Namibia,Ohangwena,ohangwena
Namibia,Omaheke,omaheke
Namibia,Zambezi,caprivi
Pakistan,BALOCHISTAN,balochistan
Pakistan,Bajaur,kpk
Pakistan,Khyber,kpk
Pakistan,Kurram,kpk
Pakistan,Mohmand,kpk
Pakistan,North Waziristan,kpk
Pakistan,Orakzai,kpk
Pakistan,South Waziristan,kpk
Pakistan,Tribal Sub Division Bannu,kpk
Pakistan,Tribal Sub Division Dera Ismail Khan,kpk
Pakistan,Tribal Sub Division Lakki Marwat,kpk
Pakistan,Tribal Sub Division Peshawar,kpk
Pakistan,Tribal Sub Division Tank,kpk
Pakistan,SINDH,sindh
South Sudan,Central Equatoria,Central Equatoria
South Sudan,Eastern Equatoria,Eastern Equatoria
South Sudan,Jonglei,Jonglei
South Sudan,Lakes,Lakes
South Sudan,Northern Bahr el Ghazal,Northern Bahr El Ghazal
South Sudan,Unity,Unity
South Sudan,Upper Nile,Upper Nile
South Sudan,Warrap,Warap
South Sudan,Western Bahr el Ghazal,Western Bahr El Ghazal
Sudan,West Darfur,West Darfor
Tanzania,Longido,arusha
Tanzania,Kongwa,dodoma
Tanzania,Mpwapwa,dodoma
Tanzania,Chamwino,dodoma urban
Tanzania,Same,kilimanjaro
Tanzania,Simanjiro,manyara
Tanzania,Musoma,mara
Tanzania,Kishapu,shinyanga
Tanzania,Manyoni,singida
Tanzania,Nzega,tabora
Uganda,Refugee Settlements,
Yemen,Abyan,abyan
Yemen,Al Bayda,al-baidha
Yemen,Al Dhale'e,aldhalae
Yemen,Al Hudaydah,al-hodiedah
Yemen,Al Jawf,al-jawf
Yemen,Al Mahwit,al-mhweit
Yemen,Amran,amran
Yemen,Dhamar,dhamar
Yemen,Socotra,hadramout
Yemen,Hajjah,hajjah
Yemen,Ibb,ibb
Yemen,Marib,mareb
Yemen,Sa'ada,sadah
Yemen,Raymah,sanaa
Yemen,Sana'a,sanaa
Yemen,Amanat Al Asimah,sanaa city
Yemen,Shabwah,shabwah
Yemen,Taizz,taiz
Zambia,Western,western
Zimbabwe,Matabeleland North,Matabeleland North
